Category,Track_ID,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Afro,2PGxiV2TSgVHd02eBd0Kz1,Nkalakatha,0.804,0.95,2.0,-4.071,1.0,0.0597,0.123,1.7e-06,0.0903,0.766,105.007
Afro,5VX9a7wZnmUxz9GYitUUnL,Kleva,0.842,0.825,8.0,-2.916,1.0,0.0327,0.0224,1.13e-06,0.294,0.852,102.982
Afro,0T3LbaGADVSPXU5Tzy7XDY,Amakoporosh,0.865,0.756,11.0,-7.128,1.0,0.134,0.0215,9.69e-05,0.102,0.512,101.005
Afro,6ue7mX2VMfHzMXYzjXDGiP,Thathi Sgubu,0.844,0.796,8.0,-7.737,1.0,0.0503,0.173,3.67e-05,0.141,0.84,103.945
Afro,3FpDRPuh4aHOOVtvlYhpB3,Lock Down,0.877,0.754,6.0,-6.205,1.0,0.249,0.295,0.0,0.074,0.828,99.951
Afro,0YrviJ3tE9cwlsiFsO8KNd,Camera - Extended Version,0.84,0.847,1.0,-2.963,1.0,0.0557,0.366,1.73e-05,0.328,0.969,101.943
Afro,5GmvLu8Ok9KqBakA6jTEVK,Abule,0.687,0.79,8.0,-7.122,1.0,0.194,0.119,2.57e-05,0.104,0.603,99.669
Afro,25Kyv5SeEenT0EETpP2hYn,"Soweto (with Don Toliver, Rema & Tempoe)",0.719,0.756,5.0,-5.392,0.0,0.0761,0.0541,0.0,0.109,0.647,105.024
Afro,3SA6Rfor4ghxWbyxxdpV3c,Arizona,0.895,0.426,7.0,-7.454,1.0,0.0909,0.289,9.71e-06,0.0835,0.317,111.997
Afro,1RRoBxDDWuIhIrZ7T3JZCG,Africa,0.79,0.903,1.0,-1.393,1.0,0.131,0.0568,0.0,0.0453,0.744,102.031
Afro,1bI2FZgFFFnDInMAoUcJKL,Lento,0.82,0.677,9.0,-6.093,1.0,0.0803,0.335,0.00103,0.231,0.789,93.961
Afro,5DtNA9G5qtpOLwLSxtGvL3,Lento,0.85,0.596,1.0,-6.832999999999999,1.0,0.254,0.17,1.76e-05,0.111,0.379,143.02
Afro,1vNXqxutLIsxUjia7LLkP9,Lento,0.81,0.578,9.0,-8.789,1.0,0.0724,0.0705,1e-05,0.121,0.493,152.953
Afro,1ejpHKgjVTmhxBjqbitWdx,Lento,0.527,0.6559999999999999,1.0,-7.13,0.0,0.126,0.359,0.0,0.148,0.495,129.47899999999998
Afro,4IcdqpHrf0ZcAh61fRAJ6N,Lento,0.691,0.931,7.0,-3.497,1.0,0.0494,0.0409999999999999,0.0,0.319,0.727,92.038
Afro,3TqVwe3IkJGvnFpbYvh9pu,Lento,0.8370000000000001,0.649,11.0,-5.26,0.0,0.192,0.149,7.63e-05,0.103,0.948,164.002
Afro,31dIPeytivJSNsEqeyVyfW,Lento,0.6859999999999999,0.925,7.0,-3.794,1.0,0.0503,0.0347,0.0,0.336,0.7340000000000001,92.028
Afro,24zwPVBNh4Ii7j2l2U8Az7,Holiday,0.67,0.823,2.0,-3.43,1.0,0.0439,0.0213,0.0,0.0587,0.609,106.003
Afro,70Tt1r5a8bJwTTZSSwPWR9,Holiday,0.8640000000000001,0.55,7.0,-4.642,0.0,0.0379,0.305,3.21e-06,0.0742,0.565,109.053
Afro,20yXk97I1YjrnAb2BbiFHX,Holiday,0.615,0.652,11.0,-5.486000000000001,0.0,0.0312,0.00836,0.0,0.233,0.416,122.93
Afro,6BrBfpzwv7ovcXVaZrULuJ,Holiday,0.7709999999999999,0.799,0.0,-3.773,1.0,0.0604,0.0698,0.0,0.349,0.7290000000000001,115.078
Afro,4nuuufXmtCY0o9tqPjMaKb,Oh My,0.466,0.675,1.0,-5.897,1.0,0.24,0.159,4.05e-05,0.1,0.52,96.129
Afro,3QRNdmWCgYj0Xd39e5wUC6,Oh My,0.856,0.746,10.0,-5.561,0.0,0.0543,0.0615,0.0,0.33,0.84,141.982
Afro,2nLqea9qjjLm5kGew6Z7GS,Oh My,0.847,0.511,3.0,-7.412999999999999,0.0,0.122,0.336,0.0,0.0829,0.787,137.06799999999998
Afro,79EoHDomYJ5q0LOOPjhxpu,Oh My,0.311,0.752,11.0,-9.853,1.0,0.0402,0.00678,0.000771,0.0921,0.469,95.001
Afro,7mjHUxaoaC0DpCBAmxcWWy,Oh My,0.816,0.773,6.0,-4.936,1.0,0.0386,0.0863,1.8e-06,0.183,0.622,140.039
Afro,7aee43cpxAZ9CZysyLpUJC,Oh My,0.7,0.89,9.0,-4.182,1.0,0.107,0.0565,0.0,0.312,0.534,114.96
Afro,7v7lFWEihD3EGjdQpO9prc,No Woman No Cry,0.742,0.938,2.0,-6.207999999999999,0.0,0.1,0.152,4.72e-06,0.359,0.721,139.976
Afro,3e7jSRwPAUqrv7wHmbvrnp,Finesse,0.469,0.51,10.0,-6.941,1.0,0.145,0.649,0.0,0.359,0.5429999999999999,90.994
Afro,1vtkg3q3588Gnu9v3e9WAw,Finesse,0.826,0.684,5.0,-3.792,0.0,0.0347,0.0658,0.0,0.104,0.92,104.957
Afro,2CqpQBNxHgarwGihG7v302,Finesse,0.825,0.578,7.0,-5.851,0.0,0.0697,0.341,0.0,0.11,0.888,97.998
Afro,7kHG2kwRTitzCFnR5FYn25,Finesse,0.701,0.737,9.0,-6.448,0.0,0.108,0.253,0.0,0.0252,0.7490000000000001,105.019
Afro,5u7Lf3qyRgZj2aNup3z9rP,Finesse,0.525,0.31,1.0,-6.297000000000001,1.0,0.0736,0.84,0.0,0.193,0.346,97.141
Afro,6GsHVZ6psI85o2D72Gw62y,Finesse,0.728,0.51,5.0,-7.736000000000001,0.0,0.0441,0.319,0.0,0.0952,0.682,104.94
Afro,6g7CNIcuU6f400MlXhGv2m,Finesse,0.782,0.765,0.0,-5.386,0.0,0.0763,0.501,0.0,0.0951,0.382,140.019
Afro,3R79tn6hv7m5VB7Lf4nP9P,Finesse,0.746,0.8740000000000001,1.0,-3.4,1.0,0.0768,0.0006129999999999,0.0,0.0717,0.4429999999999999,140.034
Afro,6GOuOrXLgt1UGfjATE4DtN,Finesse,0.623,0.48,5.0,-2.7460000000000004,0.0,0.037,0.7390000000000001,0.0,0.163,0.478,104.639
Afro,25hKHxBGCZqAd3KW6WlNuu,Finesse,0.687,0.684,1.0,-3.556,0.0,0.0849,0.00344,5.1e-06,0.238,0.347,94.025
Afro,4GfCvy3t1u4lMAFldhB7EF,Finesse,0.763,0.8370000000000001,2.0,-6.107,0.0,0.0448,0.1939999999999999,0.0,0.0503,0.906,105.008
Afro,2WP8G2pdddDmnh1xbfKBOI,Finesse,0.807,0.32,0.0,-8.152000000000001,0.0,0.0582,0.133,0.000328,0.1009999999999999,0.298,94.99
