id,name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genres
5ZLWuh52L4vvIVlRsjFhga,Carta a Dios,0.96,0.483,0.512,5.94e-05,7,0.115,-8.188,0,0.133,101.659,0.74,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
4rzWmtnly4bVIi6QGUETV0,Friends,0.527,0.849,0.694,7.72e-05,6,0.0791,-4.305,1,0.0612,115.972,0.791,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
2sY92LRATo3fwPzmDo0wwt,Gladiador,0.181,0.619,0.758,0.0,1,0.467,-5.389,0,0.07,154.165,0.714,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
4TRlBMj8wXsIfEDgWOPyE2,Malibu,0.0223,0.767,0.692,0.0,10,0.0585,-6.269,0,0.0653,110.021,0.245,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'urbano chileno', 'urbano latino']"
63OA8vSo2PhUkmQopR1l64,A Veces (feat. Feid),0.0396,0.795,0.672,0.0,1,0.0783,-4.392,1,0.0574,92.005,0.805,"['argentine hip hop', 'trap argentino', 'trap latino', 'urbano latino', 'colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
3vKYvbzB7801a5qd47pxkm,APA,0.712,0.757,0.738,9.67e-06,8,0.198,-4.913,0,0.22,120.091,0.753,"['trap latino', 'urbano latino', 'rap canario', 'trap latino', 'urbano latino']"
6eP29HuqLSONvO7xTb5dSH,COSITAS,0.351,0.626,0.615,0.0,0,0.137,-4.526,1,0.145,171.964,0.596,"['trap latino', 'urbano latino', 'trap latino', 'urbano latino']"
559YUIWxUc8Mx4lsla13Ff,MODELITO,0.191,0.711,0.752,0.0106,7,0.338,-7.574,0,0.2,145.047,0.528,"['trap latino', 'urbano latino', 'trap latino', 'urbano latino']"
3yIyUQXF050PehHtbkgaDu,CASUALIDAD,0.275,0.804,0.757,0.0,9,0.189,-5.494,0,0.0396,125.998,0.442,"['trap latino', 'urbano latino']"
4Rjq1TZbF0bDstOs6SiI6J,LACONE,0.263,0.798,0.718,0.0,8,0.142,-6.237,0,0.0443,126.01,0.727,"['trap chileno', 'trap triste', 'urbano chileno', 'rap canario', 'trap latino', 'urbano latino', 'trap latino', 'urbano latino']"
4TFNKnMWjcMWzpkSwQrrcu,Le Pido a DIOS,0.0167,0.626,0.597,6.2e-06,3,0.109,-5.094,0,0.0991,174.958,0.883,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'east coast hip hop', 'instrumental hip hop', 'jazz boom bap', 'turntablism']"
5MxFWjuqQIsbNWbMdMdbli,La Jumpa,0.298,0.713,0.703,0.0,8,0.321,-5.769,1,0.194,123.06,0.576,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino', 'reggaeton', 'trap latino', 'urbano latino']"
2f1I5YmvtL2vFKWKH2HikM,Vatos Locos,0.279,0.543,0.817,3.03e-06,11,0.0953,-5.911,0,0.243,189.016,0.47,"['french hip hop', 'pop urbaine', 'rap marseille', 'drill espanol', 'urbano espanol']"
09lW9g9PORiuYpvGs2xLOX,Otro Mar,0.7,0.607,0.713,0.0,7,0.196,-8.649,0,0.281,100.435,0.421,['rap espanol']
724SMjSK7diiqCztGG19st,Twenty One,0.825,0.703,0.733,0.0421,7,0.121,-10.456,0,0.102,115.497,0.64,"['rap espanol', 'rap espanol']"
